libbasicusageenvironment1_2016.11.28-1+deb9u2_amd64.deb,2019-03-15 13:52
libgroupsock8_2016.11.28-1+deb9u2_amd64.deb,2019-03-15 13:52
liblivemedia-dev_2016.11.28-1+deb9u2_amd64.deb,2019-03-15 13:52
liblivemedia57_2016.11.28-1+deb9u2_amd64.deb,2019-03-15 13:52
libusageenvironment3_2016.11.28-1+deb9u2_amd64.deb,2019-03-15 13:52
livemedia-utils_2016.11.28-1+deb9u2_amd64.deb,2019-03-15 13:52
libbasicusageenvironment0_2014.01.13-1+deb8u3_amd64.deb,2019-03-18 16:48
libgroupsock1_2014.01.13-1+deb8u3_amd64.deb,2019-03-18 16:48
liblivemedia-dev_2014.01.13-1+deb8u3_amd64.deb,2019-03-18 16:48
liblivemedia23_2014.01.13-1+deb8u3_amd64.deb,2019-03-18 16:48
libusageenvironment1_2014.01.13-1+deb8u3_amd64.deb,2019-03-18 16:48
livemedia-utils_2014.01.13-1+deb8u3_amd64.deb,2019-03-18 16:48
libquicktime-dev_1.2.4-7+deb8u1_amd64.deb,2017-02-28 12:30
libquicktime-doc_1.2.4-7+deb8u1_all.deb,2017-02-28 12:30
libquicktime2_1.2.4-7+deb8u1_amd64.deb,2017-02-28 12:30
quicktime-utils_1.2.4-7+deb8u1_amd64.deb,2017-02-28 12:30
quicktime-x11utils_1.2.4-7+deb8u1_amd64.deb,2017-02-28 12:30
libvdpau-doc_0.8-3+deb8u2_all.deb,2015-11-02 17:03
libvdpau-dev_0.8-3+deb8u2_amd64.deb,2015-11-02 17:28
libvdpau1-dbg_0.8-3+deb8u2_amd64.deb,2015-11-02 17:28
libvdpau1_0.8-3+deb8u2_amd64.deb,2015-11-02 17:28
libvorbisidec-dev_1.0.2+svn18153-1~deb8u2_amd64.deb,2018-03-16 20:13
libvorbisidec1_1.0.2+svn18153-1~deb8u2_amd64.deb,2018-03-16 20:13
libvorbisidec-dev_1.0.2+svn18153-1+deb9u1_amd64.deb,2018-03-16 20:28
libvorbisidec1_1.0.2+svn18153-1+deb9u1_amd64.deb,2018-03-16 20:28
libvirt-bin_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-clients_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-daemon_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-daemon-system_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt0_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-dev_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-doc_1.2.9-9+deb8u7_all.deb,2019-06-24 19:33
libvirt0-dbg_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-sanlock_1.2.9-9+deb8u7_amd64.deb,2019-06-24 19:33
libvirt-doc_3.0.0-4+deb9u5_all.deb,2020-10-01 23:39
libnss-libvirt_3.0.0-4+deb9u5_amd64.deb,2020-10-01 23:59
